artist,title,album,year,lyrics
Brandi Carlile,Cowgirls,,0,"To be fair I should've told you
Running from the money is what I do
I don't believe in wealth and excess
And I have had debt the size of Texas
But I, I didn't follow my dreams
To dump my money in your slot machine
And you can take that to the bank
Tell the bank man the devil said thanks
You know you can't get a drink in this town
Without Sunday morning comin' down
And cashing in on the costume
Yeah, get 'em while they last
The NRA can kiss my country ass

Just because you got a little dust under your boots
Doesn't mean you walked a country mile
You never hopped a train
And your back roads are going outta style
Listen to the radio and sing along
You're not saying anything
Well you never laid a railroad tie
Or watched a lonesome cowboy die
Or listened to the bells of freedom ring
And now that you're just spittin' in the wind
It's time for you to let them cowgirls in

You got your ten gallon hat
Yeah, your chewing cigars and you're smoking the fat
Tattoos of naked ladies
You played the same video games in the 80's
I hope your vintage guitar
Will take you where the wild things are
I hope you find your true voice again
And the ghost of who you are
And then they're gonna call you an outlaw
Live fast and die young
Those songs have already been sung by better men

Just because you got a little dust under your boots
Doesn't mean you walked a country mile
You never hopped a train
And your back roads are going outta style
Listen to the radio and sing along
You're not saying anything
Well you never laid a railroad tie
Or watched a lonesome cowboy die
Or listened to the bells of freedom ring
And now that you're just spittin' in the wind
It's time for you to let them cowgirls in

Now that you're just pissin' in the wind
It's time for you to let them cowgirls in
Now that you're just spittin' in the wind
It's time for you to let them cowgirls in"
Brandi Carlile,Blood Muscle Skin & Bone,The Firewatcher’s Daughter,2015,"You're still alive inside somewhere
Or are you just remains?
You're blood muscle skin and bone
So people cause you pain
But when the skies are crashing down
And when my days are dark and grey
When my fires are burning low
When the life inside me fades
I know that I can count on you
Because you never let me lie
You bring the truth back to me
You bring my back to life

I need somebody strong
For when I'm feeling weak
With an open heart that can listen
For when my soul is too tired to speak

There's a place I call my home
Where the sun falls down on me
The light fills in the shadows there
And peace of mind is free
But far below that place
A tear forms in my eye
The shadows have no foe there
And darkness multiplies
I know that I can count on you
Because you've never led me astray
You bring the truth back to me now
You always light my way
 x4"
Brandi Carlile,Throw It All Away,Brandi Carlile,2005,"When you're near me I have no fear
When I'm untrue you see right through me
You know me as deep as the sea goes
Calm my head whenever a storm blows
When the stars, and the moon
And the sky fall through
I'd throw them all away when I'm hollow
Deep as the sea goes
All I know is I would
Throw them all away, away
So in my restless hour I'm holding
Words you say that lay my soul to sleep
I dream of buildings that burn
The sky turns black, I toss and turn
When the stars, and the moon
And the sky fall through
I'd throw them all away when I'm hollow
Deep as the sea goes
All I know is I would
Throw them all away, away
This love branches out like an oak tree
Reach for the sky and roots to the sea
So when you're shaken down and broken
Find your peace of mind in knowing
I'd throw them all away when I'm hollow
Deep as the sea goes
All I know is I would
Throw them all away when I'm hollow
Deep as the sea goes
All I know is I would
Throw them all away, away"
Brandi Carlile,Losing Heart,The Story,2007,"I don't mind
If my heart don't beat and
The sun don't shine
They'll get theirs
You'll get yours and I'll get mine
It used to be that everything was easy
Now it's lost and nobody believes me
Am I losing heart
Have I frozen it, oh yeah
Am I pushing too hard
Have I started to forget
I'm alright
Am I made of steel
Am I locked up tight
I'm human
But I'm wide awake and afraid to fight
It used to take nothing to amaze me
But now I'm older and
It doesn't even phase me
Am I losing heart
Have I frozen it, oh yeah
Am I pushing too hard
Have I started to forget
It used to be that everything was easy
Now it's lost and nobody believes me
Am I losing heart
Have I frozen it, oh yeah
Am I pushing too hard
Have I started to forget"
Brandi Carlile,Touching the Ground,Give Up The Ghost,2009,"I swear when we touched I saw heaven in your eyes
Jewel studded clouds floating in your skies
Seas of blue and fields of green
Looking like you fell out of someone's dreams
Why do my troubles turn true
Whenever I rest my eyes on you
Why must my heartache be found
Wherever your feet are touching the ground
You could sing an army of angels to sleep
Songs that could cause the devil to weep
You hold me so sweet when the day is done
Enough to make you wonder where we all came from
Why do my troubles turn true
Whenever I rest my eyes on you
Why must my heartache be found
Wherever your feet are touching the ground
My heartache can be found
Wherever your feet are touching the ground
And out of those eyes I'm feeling rain
Bringing me misery and giving me pain
Curse these shackles that you put on me
Blessed be the day when you set me free
Why do my troubles turn true
Whenever I rest my eyes on you
Why must my heartache be found
Wherever your feet are touching the ground
My heartache can be found
Wherever your feet are touching the ground
My heartache can be found
Wherever your feet are touching the ground"
Brandi Carlile,What Did I Ever Come Here For,Bear Creek,2012,"I’ve been gone for so long
And how I missed you
My heart was aching for home
And then one night as I lay down
Somewhere far from you
I dreamt that I heard you call my name
But my mind was playing games
I knew right then that I’d return
To where I was before
And I was so tired of being away
That I just couldn’t stay anymore
What did I ever come here for?
Oh no no no no no
What did I ever come here for?
I thought if I showed up in the night
In my best disguise
There at your doorway in your porch light
That you would look into my eyes
And you would realize who I am
Put your arms around me
You gonna love me so much more
Than you ever did before
What did I ever come here for?
Oh no no no no no
What did I ever come here for?
It wasn’t too long before
I showed up at your door
I’d been gone a thousand miles
I didn’t know how much more I could stand
If I could stand at all
You said I looked like I’d been through World War II
And my soul was worn right through
I thought you would read my mind
I thought you’d ask me to stay
You'd never turn me away like before
But you closed your door anyway
What did I ever come here for?
Oh no no no no no
What did I ever come here for?
Oh no no no no no
What did I ever come here for?
Oh no no no no no
What did I ever come here for?"
Brandi Carlile,Just Kids,Bear Creek,2012,"Were we just kids, just starting out
Didn't we know then love was about
Were we just fooling, playing around
Were we ever gonna get out of this town
Move to Seattle, stay up all night
That was when bedtime was our biggest fight
All in a moment, all in a sound
All in a day's work, we're tumbling down
Down by the old school, trash in the street
Searching the eyes of the strangers we meet
Asking will it get better?
Will we be alone?
Turning the wheels of our bicycles home
Over the rainbow, out in the snow
Learning to walk with the sand in our toes
Long to be tall, kissed when you fall
Hoping that someone will come when you call
You call, you call, you call
You call, you call, you call
You call, you call, you call
You call, you call, you call"
Brandi Carlile,Love Songs,,0,"I can never write a love song
I can never write a blue song
When I'm in love I am a lover
And I have always had the blues
I am afraid that no one sees me
What will they say when I am gone
It occurs to me I think I miss you
I think I've missed you all along
Out of the corner of my eye (out of the corner of my eye)
Not sure if I should think these things of you
Is it the wrong place at the wrong time
I think it's just my turn to lose
Thoughts of you could give me smile lines
I laugh myself to sleep because I knew (I knew)
We were talking ‘bout a fine line
It depends on who you're talking to
If it's any consolation
The blues have always had me too
And if I ever write a love song
I think I'll write it about you"
Brandi Carlile,In the Morrow,Bear Creek,2012,"I found myself today
I took my cross up and walked away
With amazing grace and open eyes
Even though I'm born to lose my way
Tomorrow comes on a hurricane
When the weight of the world is on your mind
In the morrow I'll be gone
I gave it everything I had for so long
Save your sorrow for your song
Don't we always find a way to carry on
No one sees it coming
And no one walks when they should've been running
Nothing hurts like knowing you tried
And we can see how years can slip away
In the cold dark nights and the long hard days
But nothing aches quite like goodbye
In the morrow I'll be gone
I gave it everything I had for so long
Save your sorrow for your song
Don't we always find a way to carry on
In the morrow I'll be gone
I gave it everything I had for so long
Save your sorrow for your song
Don't we always find a way
In the morrow I'll be gone
I gave it everything I had for so long
Save your sorrow for your song
Don't we always find a way to carry on
Don't we always find a way to carry on"
Brandi Carlile,Rise Again,Bear Creek,2012,"When I find the sweet hereafter
Put a blanket on my soul
Cast a shadow on my heart
Slide the chain across my door
Ever turning all the seasons
Ever fading all the days
And if there ever was a reason
I just haven't found a way
To fall like rain
Fall like rain
Fall like rain
Fall like rain
Only to rise again
I was longing for the wind
When the trees begin to sway
But I never grow my wings
No, I never fly away
For the anchor of my love
To which my heart is bound
Is the iron for the cage
That keeps me on the ground
To fall like rain
Fall like rain
Fall like rain
Fall like rain
Only to rise again
Now I'm dreaming to myself
With a tear behind my eye
For a shelter is my mind
In the quiet of the night
Ever turning all the seasons
Ever fading all the days
And if there ever was a reason
I just haven't found a way
To fall like rain
Fall like rain
Fall like rain
Fall like rain
Only to rise again"
Brandi Carlile,Follow,Brandi Carlile,2005,"Follow your heart and see where it might take you
Don't let the world outside there break you
They know not who you are inside
They've never felt your hell
Don't ever let them crack
Hold out I know you feel it getting cold out
Without the blanket for your soul and
Before you know it you'll be frozen
And you have to see this through
There's no one here but you
I feel the rain coming down
It reminds me of who I used to be
But now that's nothing more
Than a memory
Don't go to sleep and cry because
Tomorrow if you let it, it will swallow
You up and none of this will matter
Anymore
I feel the rain coming down
It reminds me of who I used to be
But now that's nothing more
Than a memory...
Follow your heart and see where it might take you
Don't let the world outside there break you
They know not who you are inside
They've never felt your hell
Don't ever let them crack your shell"
Brandi Carlile,Someday Never Comes,Brandi Carlile,2005,"Dear Love, I'll miss you much
I'll miss your smile and I'll miss your touch
But I found a place where I can erase my past
Maybe someday when you're old and gray
When your hair falls out and your tattoos fade
You might see me standing, hand in hand
I have to go away
I've got no reason to stay here
You said someday you'll change
But even a fool will tell you
Someday never comes
You built your rooms, you built your walls
You kept me outside of it all
I got tired of you, what's a girl to do
Maybe someday if we stay this way
And you see my face in a different place
You'll remember when, you're gonna thank me then
I have to go away
I've got no reason to stay here
You said someday you'll change
But even a fool will tell you
Someday never comes"
Brandi Carlile,Alibi,The Firewatcher’s Daughter,2015,"I done some bad bad things
The kind you don't bring up at confession
Somewhere in my life, woah
I took the wrong direction
I swear on my soul
I didn't want to hurt no one
But I got no way to justify
The things I done

If you're good at telling lies
You could be my alibi
And I won't have to atone for my sins
If you're good at telling lies
You could be my alibi
And I won't have to the fall for where I've been
You done some bad bad things
The kind that don't bare to mention
Something inside you died
Now you need some ressurrection
If you don't want to go down
Just like the setting sun
You got to find a way to reconcile
The things you done

If you're good at telling lies
You could be my alibi
And I won't have to the fall for where I've been
I swear some people in the world
They got no moral compass
I know the wicked ones
I feel them walk among us
The hangman begs for mercy
Only when his time has come
Because he got no way to
Rectify the things he done

I won't take the fall for where I've been
I won't take that fall for where I've been, no"
Brandi Carlile,Eye Of The Needle,Acoustic,0,"Twenty years of pushing pens
Of up the stairs and down again
Should've learned to style my hair
So I could never sleep at night
I've never mastered eating right
Distracted by the skin I wear
And I'm alive in here somewhere
Cause I can feel me twistin'
I'm so far beyond my years
So don't be fooled by today
Hey please, just believe in me
Don't lose your hope so easily
Because passing through the eye of a needle
Isn't as easy as it sounds
For those like me
Yeah yeah
Nothing short of miracles
Can save a small and dying world
That offers no apologies
To lay their hopes and dreams asleep
But pray the Lord their goal to keep
But I still got a soul in me
And old protects ability
And illusions of grandeur
I once was blind but now I see
They got everything for me but grace
Hey please, just believe in me
Don't lose hope so easily
Because passing through the eye of a needle
Isn't as easy as it sounds
For those like me
Yeah yeah
Yeah
And I'm alive in here somewhere
Cause I can feel me twistin'
I'm so far beyond my years
So don't be fooled by today
Hey please, just believe in me
Don't lose hope so easily
Because passing through the eye of the needle
Isn't as easy as it sounds
For those like me
Yeah yeah"
Brandi Carlile,One magic kiss,,0,"Rock a bye Baby
You won't be long
One magic kiss and a soft little song
Sleepy head eyes and a great big yawn
Or two
Good night
I love you
Rock a bye baby
Sweetest of dreams
And honeycombed hills and rivers of cream
Big daffodils and orange and green
And blue
Good night
I love you
Good night to all and to all good night
The stars have come out and the moon shining bright
I see you again at the first morning light
Or noon
Good night
I love you"
Brandi Carlile,In My Own Eyes,Brandi Carlile,2005,"Hold me down, lift me up
There's someone on the bedside waiting there for me
I hear my name, turn around
There's gotta be a downside, something I don't see
Around me, hide me
Dying in the light of the room
Blind side please
I don't really wanna be seen
In my own eyes
Something's wrong, awake all night
'Cause I can feel the dark side closing in on me
Do you see me as I see myself
I promise there's a downside, something you can't see
About me, hide me
Dying in the light of the room
Blind side please
I don't really wanna be seen
In my own eyes
Lost in translation, free to fall
One situation and lose it all
Hide me
Dying in the light of the room
Blind side please
I don't really wanna be seen...
I don't really wanna be seen
In my own eyes"
Brandi Carlile,Gone,Brandi Carlile,2005,"Life is too short to waste all your time
Running too quickly to the finish line
Time is a trap, it's ready and set
And the longer you live, the closer you get to being
Gone, gone like the evening
Sun, sun when it sets
Gone, gone like the darkness
At dawn, and then we forget
Oooooooooh...
There's no guarantee or promise of wealth
And you're only allowed so much time on the shelf
Time isn't money, it's only a lie
Because everything lost can be found but your time when you're
Gone, gone like the evening
Sun, sun when it sets
Gone, gone like the darkness
At dawn, and then we forget
Oooooooooh...
So live in doubt, live in fear
And you might live forever
Or live it up, and watch your back
And you might live for better
Gone, gone like the evening
Sun, sun when it sets
Gone, gone like the darkness
At dawn, and then we forget
Oooooooooh..."
Brandi Carlile,Us Again,,0,"Close your eyes and count to three
I'm gonna make you proud of me
Not today, but that's alright
We have got a long long time
I've got big plans and you do too
And we've got ways to make them true
When I get old and if I do
I'm gonna get there next to you
And you can count on me
And you can lean on me
And we can throw our dreams to the wind
They'll find us again
With a hand to hold the rail
Count the years that we've got left
We've got the world by the tail
Oh we just don't know it yet
But you can count on me
And you can lean on me
And we can throw our dreams to the wind
And you can count on me
And you can lean on me
And we can throw our dreams to the wind
They'll find us again
They'll find us again
They'll find us again"
Brandi Carlile,I didn’t,,0,"I've been down with a broken heart
Since the day I learned to speak
The devil gave me a crooked start
When he gave me crooked feet
But Gabriel don came to me
And kissed me in my sleep
And I'll be singing like and angel
Until I'm six feet deep
I found myself an omen
And I tattoed on a sign
I set my mind to wandering
And I walk a broken line
You have a mind to keep me quiet
And although you can try
Better men have hit their knees
And bigger men have died
I'm gonna raise, raise hell
There's a story no one tells
You gotta raise, raise hell
Go on and ring that bell
You came upon a lightning strike
And eyes of bright clear blue
I took a tie from around my neck
And gave my heart to you
I sent my love accross the sea
And though I didn't cry
That voice will haunt my every dream
Until the day I die
I'm gonna raise, raise hell
There's a story no one tells
You gotta raise, raise hell
Go on and ring that bell
I dug a hole inside my heart
To put you in your grave
At this point it was you and me
And mama didn't raise no slave
You took my face in both your hands
And looked me in the eye
And I went down with such a force
That in your grave I lay
I'm gonna raise, raise hell
There's a story no one's telling
You gotta raise, raise hell
Go on and ring that bell
Go on and ring that bell
Go on and ring that bell
Go on and ring that bell"
Brandi Carlile,Way To You,,0,"Way back when, when the days were young
We had our fun
Never cared much about being cool
Or growing old to play the old fool
Part of your life you spend paying your dues
Walking the miles and singing the blues
If I'm born into a pair of ramblin' shoes
I'll tell you what I'll do
I'll take my wings with a heart that's true
And find the way to you
Part of your life you spend paying your dues
Walking the miles in your old man shoes
When I finally find the way to shake loose
I'll tell you what I'll do
Hang my worry on a golden noose
And find the way to you
When we're all old and withering sages
Talkin' 'bout what might have been
Like a missing line or torn out pages
We're gonna miss you then
Walking the miles, singing the blues
Learning to love what god gives to you
If he gave me rockets on the bottom of my shoes
I tell you what I'd do
I'd burn my sole where the sun was new
And find the way
The way to you"
Brandi Carlile,Fall,Room for Me,0,"There's a candle in the corner
It keeps reminding me of you
It's how you lit it on my birthday
Sometimes I miss the things you do
But then you'd turn on me if the wind blew
And you'd sting me with a glare
And your thirst was so insatiable
Just to quench it robbed me bare
I'm on broken glass
My bitter pill
That you'll love me I know
I been wasting time on climbing hills
So you'll love me I know
Someday you will.........fall on my knees
Cross-legged by the fireplace
I play guitar while you read
My patience ran so thin with you
Always toying with my head
Some how it made you strangely gleeful
To see me longing for your touch
And I still fail to see the humor in my loving you so much
I'm on broken glass
My bitter pill
That you'll love me I know
I been wasting time on climbing hills
So you'll love me I know
Someday you will.........fall on my knees
I said we're faced with the facts and it's a high price to pay
C'mon blue eyes that tell me you can't walk away
If there's nothing to lose then there's nothing to gain
C'mon stay here tonight don't drive home in the rain
And I fall on my knees
All my pride is in your hands
We're not so strong and we've mislaid our plans
I taste the shame and I'll take the blame
If it's my cross to bear
I'm on broken glass
My bitter pill
That you'll love me I know
I been wasting time on climbing hills
So you'll love me I know
Someday you will.........fall on my knees"
Brandi Carlile,5:00,Room for Me,0,"Monday you just had to spend the day with me
And hop a bus down to the big city
Tuesday it looked like rain
And i was laughing all insane
And running through it anyway
Hot cup of coffee in my fingers
As the weekend they disappear
Bye bye
Wednesday's paper is all about the president
We've all seen better ways of our time spent
Thursday it was nothing but a compropmise
Changing with the tide is just my way of being wise
Naive notions that were childish
And my thoughts of a busy day
Maybe
You know i worked all day then the sun went down at five
I'll pass the hours away just to keep myself alive
Yeah i didn't miss you a bit but i just might want you tonight
I'll wake up Saturday morning and finally i'll be all right
Friday comes my song is on the radio
A long drive home and i'm listening to my indigo
Solitary sense it finally comes over me
I made it through another week
I know just where i want to be
Raindrops on the window wash away my Friday blues
You know i worked all day then the sun went down at five
I passed the hours away just to keep myself alive
Yeah i didn't miss yo a bit but i just might want you tonight
I'll wake up Saturday morning and finally i'll be all right
We're all right now
Yeah i didn't miss you a bit but i just might want you tonight
I'll wake up Saturday morning and finally i'll be there
Monday you just had to spend the day with me
Tuesday it's raining in the big city
Wednesday's the president Thursday i pay the rent
Friday comes my song is on the radio
Yeah i worked all day then the sun went down at five
I'll pass the hours away just to keep myself alive
Yeah i didn't miss you a bit but i just might want you tonight yeah
I'll wake up Saturday morning and finally i'll be all right
We're all right
I'll wake up Saturday morning and finally i'll be all right"
Brandi Carlile,Tired,,0,"Up tired with your blue eyes crying and you're
Upset like you're tired of trying and
You gave it away; you think you'll figure out
And even if you've
Lost your mind when you're down and out
I don't know what you're on about, but
You'll end up on your own again, hey
Underlying, self-denying
Hate when you've been left behind
The world is closing in on you
You've been told a thousand times
To watch your back, you never know quite when
Or where
Up tired with your blue eyes crying and you're
Upset like you're tired of trying and
You gave it away; you think you'll figure out
And even if you've
Lost your mind when you're down and out
I don't know what you're on about, but
You'll end up on your own again, hey
Lost and low, I know, you're okay
I do believe I'm saving you
Maybe I don't want to be
I do believe that it will be okay, yeah
Oh, yeah
Underlying, self-denying
Maybe you've been left behind
The world is closing in on you
You've been told a thousand times
To watch your back, you never know quite where
Or when
Up tired with your blue eyes crying and you're
Upset like you're tired of trying and
You gave it away; you think you'd figure out
And even if you've
Lost your mind when you're down and out
I don't know what you're on about, but
You'll end up on your own again, hey
Yeah
Oh, everything will be okay"
Brandi Carlile,Call You Out,Room for Me,0,"You were waiting in the tall grass by the boulevard
From my living room i'm watching the sun go down
TV's broken so i'm trying not to think about it
Write in a letter i'll see you around
Its like i've been rolling from you all my life
If i was stronger i might call you out
I won't throw water on you if you're on fire
I'm not crazy
I can't stop lying baby you forgive me
I'm not sorry now
I turn my lights off when i recognize your secret knock
Can't stop laughing when i see you drive away
If i'm so perfect then how come i never call you back
Cuz i'm so perfect when i've nothing left to say
Its like i've been rolling from you all my life
Oh if i was stronger i might call you out
Chorus
Bridge
Oh well i don't care and i'm alright
If its not fair put up your fight
But i won't waste another night
I'll go it alone
Chorus"
Brandi Carlile,Open Doors,Open Doors,0,"So we haven't seen her
Anywhere around
And i fear Brianna
Is six feet underground
And i could not apologize
Enough to set me free
So if you see Brianna won't you
Tell her this for me
I would open doors
Help you on your way
I don't want to lie no more
I think i've found my place
So what are you waiting for
I just want to wish you well
And i don't want to call no more
And i would open doors
Gravity ensures us
Closer to the ground
And i keep my feet planted
Firmly in the clouds
So i would often wonder if you'd
Ever come around
Cuz you're the only one who'd always
Bring me crashing down
I would open doors
And help you on your way
I don't want to lie no more
I think i've found my place
So what are you waiting for
I just want to wish you well
And i don't want to lie no more
I would open doors
So what are you waiting for
I'll help you on your way
I don't want to lie no more
I think i've found my place
I would open doors
Just want to wish you well
And i don't want to lie no more
I would open doors
I would open doors"
Brandi Carlile,Silver Cloud,We’re Growing Up,0,"I walked on by the old school yard
As high as I envision
The years behind us and your decisions
Whatever it takes whatever you need
And I will be there for you
Last you heard is I adore you, well
And days go by
But that was yesterday
You want to still be friends
It doesn't work that way
I was floating on your silver cloud
When the storm came in and the bottom fell out
Still I try I wonder why I can't figure it out
Floating on your silver cloud
If time wasn't lost
And the friends you forgot
That tried to be there for you
All you wanted was to be alone
And I can't win
It's over either way
Hey I know how this ends and I don't want to play
I was floating on your silver cloud
When the storm came in and the bottom fell out
Still I try I wonder why I can't figure it out
Floating on your silver cloud
I watched our friendship sink
I held out my hand
You tore another chink
And I didn't understand
Thru all the white lies
Thru all the black lies
Hard to survive
As I held you up
Still your pride you rejected my crutch
I was floating on your silver cloud
When the storm came in
And the bottom fell out
Still I try I wonder why I can't figure it out
Floating on your silver cloud"
Brandi Carlile,The Clock,,0,"Turn back the clock on me
Tell me an old story
Show me my young soul but
Can't judge you do not know me
Hold out your greatest
Hope for the faithless
We'll fall on hard years
And words fall on deaf ears but
I will remember this
Ashes to ashes
Bright eyes to lashes
Give me the run around
Tell me we don't all fall down
And hold out your greatest
Hope for the faithless
We'll fall on hard years
And words fall on deaf ears but
I will remember this
Hold out your greatest
Hope for the faithless
We'll fall on hard years
And words fall on deaf ears
Ashes to ashes
And bright eyes to lashes when
I will remember this"
Brandi Carlile,Somewhere Along the Way,We’re Growing Up,0,"It must have been that day I stopped believing
It must have been that time I broke your door
Well I must have been that way before you met me
It must have been a thousand years or more
When you said no more dime store apologies from you
No more back yard rock stars howling at the moon
It's like the harder you try the bigger the debt you pay
I must have lost it...somewhere along the way
I never meant to cause you so much friction
I never saw how jaded I'd become
I never meant to harbor some addiction
I really wanna turn my head and run
When you said no more dime store apologies from you
No more back yard rock stars howling at the moon
It's like the harder you try the bigger the debt you pay
I must have lost it...somewhere along the way"
Brandi Carlile,All that remains,,0,"We can pretend we live
In a world that forgives
For the mistakes we make
And the promises we break
I try not to care about yesterday
There's no second chances
I live for today
CHORUS:
I've been here before
To the edge of the shore
And got washed out somewhere in the rain
I waited too long
Now the feeling is gone
And sorrow is all that remains
All that remains
Don't wait too long my friend
Because tomorrow may not come
And as for your dreams
Don't let them fade
While you stare off into the sun
I try not to care about yesterday
There's no second chances
I live for today
CHORUS
I don't care much about yesterday
There's no second chances
I live for today
(cello solo)
Oh, and for every goodbye
And the tears that I cried
I have taken those pieces with me
So as far as it seems
We will follow our dreams
To the places we may never see
We may never see
CHORUS"
Brandi Carlile,Last One to Know,We’re Growing Up,0,"All along my face
Something's not right
Headin' down the lines
I once believe in things unseen
Till I was running out of
Time is a virtue not many
Of us have the luxury to enjoy
Unless you think you're
Free but nothing's guaranteed
But death and taxes and
I'm so far down today
I'm so far down
I'm so far down
Here on my shoulder in stone
I can never throw  away
And I'm so angry yet so sad
I remember when
You're so rad you're so rad
I never amount to nothing but
But ashes of faith

I'm not brave enough to face the things
That I know are wrong with my life
So I blame you
And you're the first one to go
The first one to show
The last one to know
The last one to know"
Brandi Carlile,Tie Your Mother Down,When We Rise (Original Television Soundtrack),0,"Oooh yeah

Get your party gown, get your pigtail down
Get your heart beating baby
Got my timing right, got my act all tight
It's gotta be tonight, my little school babe

Your momma says you don't and your daddy says you won't
And I'm boiling up inside
There is no way I'm gonna lose out this time
Oh, no

Tie your mother down, tie your mother down
Lock your daddy out of doors, I don't need him nosing around
Tie your mother down, tie your mother down
Give me all your love tonight

""You're such a dirty louse, go get out of my house""
That's all I ever get from your
Your family ties, in fact, I don't think I ever heard
A single little civil word from those guys

But you know I don't give a light, I'm gonna make out all right
I've got a sweetheart in hand to put a stop to all that
Snipin' and grousin' goin' on all night

Tie your mother down, tie your mother down
Send your little brother swimming with a brick, that's alright
Tie your mother down, tie your mother down
Or you ain't no friend of mine


Your mommy and your daddy are gonna plague me till I die
They can't they understand it, I'm just a peace loving guy

Tie your mother down, tie your mother down
Get that big big big big big big daddy out the door
Tie your mother down, yeah, tie your mother down
Give me all your love tonight
All your love tonight

Give me every inch of your love
All your love tonight, yeah
All your love
Tonight"
Brandi Carlile,Temporary Time,Open Doors,0,"I'm never gonna go that far
I'm never gonna try that hard
Well I don't wanna shake your hand
And I'm not gonna be your friend
You're never gonna see me cry
And someone said the reason why
I can never find the words to say
Send me on my way again
Not again
You're just out of reach how you come is how you leave
Temporary time is on your side
Yeah it's on your side
Well c'mon could you take me on
I just wanna come along
I'm never gonna be that cool
Breaking all my rules
Again not again
You're a sidewinder aren't you I can tell
Cold lonely stranger very well
But there's a cold line of distance in the way you stare across a room
And there's a cold line of distance in the way you shook my hand
You're a sidewinder aren't you I can tell
Cold lonely stranger very well
But there's a cold line of distance in the way you stare across a room
And there's a cold line of distance in the way you shook my hand"
